Priority,URL,Type,Locale
0.8,https://rateships.com/en/shipping/australia-to-south-korea,corridor,en
0.8,https://rateships.com/en/shipping/australia-to-spain,corridor,en
0.8,https://rateships.com/en/shipping/australia-to-switzerland,corridor,en
0.8,https://rateships.com/en/shipping/australia-to-turkey,corridor,en
0.8,https://rateships.com/en/shipping/australia-to-united-kingdom,corridor,en
0.8,https://rateships.com/en/shipping/australia-to-united-states,corridor,en
0.8,https://rateships.com/en/shipping/brazil-to-australia,corridor,en
0.8,https://rateships.com/en/shipping/brazil-to-indonesia,corridor,en
0.8,https://rateships.com/en/shipping/brazil-to-mexico,corridor,en
0.8,https://rateships.com/en/shipping/brazil-to-netherlands,corridor,en
0.8,https://rateships.com/en/shipping/brazil-to-russia,corridor,en
0.8,https://rateships.com/en/shipping/brazil-to-saudi-arabia,corridor,en
0.8,https://rateships.com/en/shipping/brazil-to-south-korea,corridor,en
0.8,https://rateships.com/en/shipping/brazil-to-spain,corridor,en
0.8,https://rateships.com/en/shipping/brazil-to-switzerland,corridor,en
0.8,https://rateships.com/en/shipping/brazil-to-turkey,corridor,en
0.8,https://rateships.com/en/shipping/canada-to-australia,corridor,en
0.8,https://rateships.com/en/shipping/canada-to-indonesia,corridor,en
0.8,https://rateships.com/en/shipping/canada-to-mexico,corridor,en
0.8,https://rateships.com/en/shipping/canada-to-netherlands,corridor,en
0.8,https://rateships.com/en/shipping/canada-to-russia,corridor,en
0.8,https://rateships.com/en/shipping/canada-to-saudi-arabia,corridor,en
0.8,https://rateships.com/en/shipping/canada-to-south-korea,corridor,en
0.8,https://rateships.com/en/shipping/canada-to-spain,corridor,en
0.8,https://rateships.com/en/shipping/canada-to-switzerland,corridor,en
0.8,https://rateships.com/en/shipping/canada-to-turkey,corridor,en
0.8,https://rateships.com/en/shipping/china-to-australia,corridor,en
0.8,https://rateships.com/en/shipping/china-to-indonesia,corridor,en
0.8,https://rateships.com/en/shipping/china-to-mexico,corridor,en
0.8,https://rateships.com/en/shipping/china-to-netherlands,corridor,en
0.8,https://rateships.com/en/shipping/china-to-russia,corridor,en
0.8,https://rateships.com/en/shipping/china-to-saudi-arabia,corridor,en
0.8,https://rateships.com/en/shipping/china-to-south-korea,corridor,en
0.8,https://rateships.com/en/shipping/china-to-spain,corridor,en
0.8,https://rateships.com/en/shipping/china-to-switzerland,corridor,en
0.8,https://rateships.com/en/shipping/china-to-turkey,corridor,en
0.8,https://rateships.com/en/shipping/france-to-australia,corridor,en
0.8,https://rateships.com/en/shipping/france-to-indonesia,corridor,en
0.8,https://rateships.com/en/shipping/france-to-mexico,corridor,en
0.8,https://rateships.com/en/shipping/france-to-netherlands,corridor,en
0.8,https://rateships.com/en/shipping/france-to-russia,corridor,en
0.8,https://rateships.com/en/shipping/france-to-saudi-arabia,corridor,en
0.8,https://rateships.com/en/shipping/france-to-south-korea,corridor,en
0.8,https://rateships.com/en/shipping/france-to-spain,corridor,en
0.8,https://rateships.com/en/shipping/france-to-switzerland,corridor,en
0.8,https://rateships.com/en/shipping/france-to-turkey,corridor,en
0.8,https://rateships.com/en/shipping/germany-to-australia,corridor,en
0.8,https://rateships.com/en/shipping/germany-to-indonesia,corridor,en
0.8,https://rateships.com/en/shipping/germany-to-mexico,corridor,en
0.8,https://rateships.com/en/shipping/germany-to-netherlands,corridor,en
0.8,https://rateships.com/en/shipping/germany-to-russia,corridor,en
0.8,https://rateships.com/en/shipping/germany-to-saudi-arabia,corridor,en
0.8,https://rateships.com/en/shipping/germany-to-south-korea,corridor,en
0.8,https://rateships.com/en/shipping/germany-to-spain,corridor,en
0.8,https://rateships.com/en/shipping/germany-to-switzerland,corridor,en
0.8,https://rateships.com/en/shipping/germany-to-turkey,corridor,en
0.8,https://rateships.com/en/shipping/india-to-australia,corridor,en
0.8,https://rateships.com/en/shipping/india-to-indonesia,corridor,en
0.8,https://rateships.com/en/shipping/india-to-mexico,corridor,en
0.8,https://rateships.com/en/shipping/india-to-netherlands,corridor,en
0.8,https://rateships.com/en/shipping/india-to-russia,corridor,en
